open,high,low,close,range,m.open,m.high,m.low,m.close,m.range,tal
1.0937,1.09375,1.0927,1.0933,0.00105,0.00035,-0.00015,-0.00045,-0.0004,0.0003,18
1.09165,1.0917,1.09125,1.0916,0.00045,0.00055,5e-05,0.00055,-5e-05,-0.0005,18
1.0916,1.09185,1.0915,1.0918,0.00035,-5e-05,0.00015,0.00025,0.0002,-0.0001,18
1.0918,1.092,1.0915,1.09195,0.0005,0.0002,0.00015,0.0,0.00015,0.00015,18
1.09195,1.09215,1.0917,1.09205,0.00045,0.00015,0.00015,0.0002,0.0001,-5e-05,18
1.0921,1.0926,1.09205,1.0924,0.00055,5e-05,0.0004,0.00025,0.0003,0.00015,18
1.09215,1.0925,1.09195,1.0925,0.00055,-0.00025,-0.00025,-5e-05,0.00035,-0.0002,18
1.09185,1.09195,1.0913,1.0913,0.00065,-0.00035,-0.00035,-0.0004,-0.00055,5e-05,18
1.09195,1.09225,1.09175,1.09195,0.0005,0.00065,0.00025,0.0005,0.0,-0.00025,18
1.09195,1.09265,1.0917,1.0923,0.00095,0.0,0.0004,-5e-05,0.00035,0.00045,18
1.0923,1.09265,1.0922,1.09245,0.00045,0.00035,0.0,0.0005,0.00015,-0.0005,18
1.09245,1.0929,1.09245,1.09275,0.00045,0.00015,0.00025,0.00025,0.0003,-0.0,18
1.09245,1.0929,1.09245,1.09275,0.00045,0.00015,0.00025,0.00025,0.0003,-0.0,18
1.09275,1.09285,1.0924,1.09255,0.00045,0.0003,-5e-05,-5e-05,-0.0002,0.0,18
1.09275,1.09285,1.0924,1.09255,0.00045,0.0003,-5e-05,-5e-05,-0.0002,0.0,18
1.09255,1.0927,1.09215,1.0922,0.00055,-0.0002,-0.00015,-0.00025,-0.00035,0.0001,18
1.0919,1.0919,1.0916,1.0916,0.0003,-0.00025,-0.00025,-5e-05,-0.0003,-0.0002,18
1.0916,1.09175,1.0916,1.0917,0.00015,-0.0003,-0.00015,0.0,0.0001,-0.00015,18
1.0917,1.09185,1.0917,1.0918,0.00015,0.0001,0.0001,0.0001,0.0001,0.0,18
1.0918,1.09195,1.0918,1.0919,0.00015,0.0001,0.0001,0.0001,0.0001,0.0,18
1.0919,1.0919,1.09175,1.09175,0.00015,0.0001,-5e-05,-5e-05,-0.00015,0.0,18
1.09195,1.092,1.0918,1.09185,0.0002,0.0002,-0.0001,5e-05,-0.0001,-0.00015,18
1.0923,1.0923,1.0919,1.092,0.0004,0.0002,-5e-05,-5e-05,-0.0003,0.0,29
1.092,1.09205,1.0917,1.0917,0.00035,-0.0003,-0.00025,-0.0002,-0.0003,-5e-05,29
1.0919,1.0919,1.0915,1.0915,0.0004,0.0002,-5e-05,-0.0001,-0.0004,5e-05,29
1.0914,1.09165,1.0913,1.09155,0.00035,-0.0001,5e-05,0.0,0.00015,5e-05,29
1.0914,1.09165,1.0913,1.09155,0.00035,-0.0001,5e-05,0.0,0.00015,5e-05,29
1.09155,1.09175,1.0912,1.09175,0.00055,0.00015,0.0001,-0.0001,0.0002,0.0002,29
1.09175,1.09225,1.09165,1.09205,0.0006,0.0002,0.0005,0.00045,0.0003,5e-05,29
1.0928,1.0935,1.09255,1.09335,0.00095,0.00065,0.00055,0.00105,0.00055,-0.0005,29
1.09335,1.0946,1.09325,1.09395,0.00135,0.00055,0.0011,0.0007,0.0006,0.0004,29
1.09405,1.09405,1.09325,1.0939,0.0008,0.00015,-0.0001,-0.0004,-0.00015,0.0003,29
1.0938,1.094,1.09325,1.09325,0.00075,-0.0001,-5e-05,5e-05,-0.00055,-0.0001,29
1.09265,1.0928,1.0923,1.09255,0.0005,-0.00035,-0.0005,-0.00025,-0.0001,-0.00025,29
1.09255,1.0933,1.0925,1.09305,0.0008,-0.0001,0.0005,0.0002,0.0005,0.0003,29
1.09305,1.0934,1.0929,1.09305,0.0005,0.0005,0.0001,0.0004,0.0,-0.0003,29
1.0927,1.09305,1.09255,1.0927,0.0005,-0.00015,-0.0002,-0.00015,0.0,-5e-05,29
1.0927,1.0931,1.0922,1.09295,0.0009,0.0,5e-05,-0.00035,0.00025,0.0004,29
1.0929,1.09345,1.09285,1.09345,0.0006,-5e-05,0.00035,0.0005,0.00055,-0.00015,29
1.09195,1.09205,1.09065,1.0908,0.0014,0.0001,-5e-05,-0.00055,-0.00115,0.0005,29
1.09195,1.09205,1.09065,1.0908,0.0014,0.0001,-5e-05,-0.00055,-0.00115,0.0005,29
1.0908,1.0914,1.09065,1.0914,0.00075,-0.00115,-0.00065,0.0,0.0006,-0.00065,29
1.0914,1.09245,1.0911,1.09135,0.00135,0.0006,0.00105,0.00045,-5e-05,0.0006,29
1.09165,1.0921,1.0913,1.09185,0.0008,0.0003,0.0002,0.00015,0.0002,5e-05,29
1.0899,1.0903,1.0892,1.09015,0.0011,-0.0003,-0.00025,-0.00045,0.00025,0.0002,29
1.0899,1.0903,1.0892,1.09015,0.0011,-0.0003,-0.00025,-0.00045,0.00025,0.0002,29
1.09015,1.091,1.09005,1.09085,0.00095,0.00025,0.0007,0.00085,0.0007,-0.00015,29
1.0902,1.0908,1.0902,1.0908,0.0006,0.0002,0.00055,0.00065,0.0006,-0.0001,29
1.0908,1.09135,1.0908,1.0913,0.00055,0.0006,0.00055,0.0006,0.0005,-5e-05,29
1.0914,1.0916,1.09125,1.09155,0.00035,-0.0002,-0.0001,-5e-05,0.00015,-5e-05,29
1.0914,1.0916,1.09125,1.09155,0.00035,-0.0002,-0.0001,-5e-05,0.00015,-5e-05,29
1.09155,1.09165,1.09115,1.0912,0.0005,0.00015,5e-05,-0.0001,-0.00035,0.00015,29
1.09145,1.0916,1.09145,1.0915,0.00015,5e-05,5e-05,0.00015,5e-05,-0.0001,10
1.0915,1.0916,1.0914,1.0915,0.0002,5e-05,0.0,-5e-05,0.0,5e-05,10
1.0915,1.0919,1.09145,1.09185,0.00045,0.0,0.0003,5e-05,0.00035,0.00025,10
1.09145,1.09145,1.0911,1.0911,0.00035,-0.00015,-0.00025,-0.0002,-0.00035,-5e-05,10
1.091,1.0912,1.09075,1.091,0.00045,-0.0004,-0.0005,-0.0001,0.0,-0.0004,10
1.091,1.0916,1.0909,1.09135,0.0007,0.0,0.0004,0.00015,0.00035,0.00025,10
1.09135,1.0916,1.09115,1.0916,0.00045,0.00035,0.0,0.00025,0.00025,-0.00025,10
1.0916,1.09195,1.09145,1.09195,0.0005,0.00025,0.00035,0.0003,0.00035,5e-05,10
1.09195,1.092,1.0913,1.0913,0.0007,0.00035,5e-05,-0.00015,-0.00065,0.0002,10
1.0913,1.0924,1.09095,1.0923,0.00145,-0.00065,0.0004,-0.00035,0.001,0.00075,10
1.0923,1.093,1.0923,1.09275,0.0007,0.001,0.0006,0.00135,0.00045,-0.00075,10
1.09185,1.0928,1.09185,1.09275,0.00095,-0.00065,5e-05,0.00015,0.0009,-0.0001,10
1.09165,1.0921,1.09135,1.092,0.00075,-0.00075,-0.00035,-0.0003,0.00035,-5e-05,10
1.09225,1.0926,1.09185,1.09195,0.00075,0.00025,0.0001,-0.00015,-0.0003,0.00025,10
1.09195,1.0922,1.0917,1.09185,0.0005,-0.0003,-0.0004,-0.00015,-0.0001,-0.00025,10
1.09195,1.0922,1.0917,1.09185,0.0005,-0.0003,-0.0004,-0.00015,-0.0001,-0.00025,10
1.09185,1.09215,1.09165,1.0917,0.0005,-0.0001,-5e-05,-5e-05,-0.00015,0.0,10
1.0917,1.0921,1.0917,1.09185,0.0004,-0.00015,-5e-05,5e-05,0.00015,-0.0001,10
1.09205,1.0927,1.09175,1.09245,0.00095,0.0002,0.0005,-5e-05,0.0004,0.00055,10
1.09205,1.0927,1.09175,1.09245,0.00095,0.0002,0.0005,-5e-05,0.0004,0.00055,10
1.09245,1.0925,1.0919,1.09195,0.0006,0.0004,-0.0002,0.00015,-0.0005,-0.00035,10
1.09255,1.09255,1.09155,1.0919,0.001,0.00105,-5e-05,0.0001,-0.00065,-0.00015,10
1.0919,1.0924,1.09175,1.09205,0.00065,-0.00065,-0.00015,0.0002,0.00015,-0.00035,10
1.09205,1.09205,1.0912,1.0914,0.00085,0.00015,-0.00035,-0.00055,-0.00065,0.0002,10
1.0914,1.0931,1.09105,1.0927,0.00205,-0.00065,0.00105,-0.00015,0.0013,0.0012,10
1.09285,1.0945,1.0928,1.0945,0.0017,0.00015,0.0015,0.0005,0.00165,0.001,10
1.0945,1.0964,1.09445,1.0959,0.00195,0.00165,0.0019,0.00165,0.0014,0.00025,10
1.0969,1.0974,1.0968,1.09705,0.0006,0.0006,0.0004,0.00055,0.00015,-0.00015,10
1.09705,1.09735,1.0967,1.09725,0.00065,0.00015,-5e-05,-0.0001,0.0002,5e-05,10
1.09725,1.09755,1.0971,1.09735,0.00045,0.0002,0.0002,0.0004,0.0001,-0.0002,10
1.09735,1.0976,1.0973,1.0976,0.0003,0.0001,5e-05,0.0002,0.00025,-0.00015,10
1.0976,1.09795,1.09755,1.09775,0.0004,0.00025,0.00035,0.00025,0.00015,0.0001,10
1.0993,1.0993,1.0992,1.0993,0.0001,0.0001,-0.0001,5e-05,0.0,-0.00015,25
1.0993,1.0994,1.0991,1.0992,0.0003,0.0,0.0001,-0.0001,-0.0001,0.0002,25
1.0992,1.09925,1.0989,1.0989,0.00035,-0.0001,-0.00015,-0.0002,-0.0003,5e-05,25
